,Slice,x-grid,y-grid,Poren,num Black pixels
0,369,0,0,0,1
1,369,0,1,0,1
2,369,1,0,0,7
3,369,1,1,1,111
4,370,0,0,0,1
5,370,0,1,0,1
6,370,1,0,0,0
7,370,1,1,1,100
8,371,0,0,1,67
9,371,0,1,0,13
10,371,1,0,0,2
11,371,1,1,0,0
12,372,0,0,0,4
13,372,0,1,0,1
14,372,1,0,0,0
15,372,1,1,0,0
16,373,0,0,0,9
17,373,0,1,1,91
18,373,1,0,0,6
19,373,1,1,0,1
20,374,0,0,1,62
21,374,0,1,1,546
22,374,1,0,1,53
23,374,1,1,0,1
24,375,0,0,1,82
25,375,0,1,1,684
26,375,1,0,0,8
27,375,1,1,0,0
28,376,0,0,0,24
29,376,0,1,1,317
30,376,1,0,0,27
31,376,1,1,0,7
32,377,0,0,0,9
33,377,0,1,1,250
34,377,1,0,0,2
35,377,1,1,0,4
36,378,0,0,0,5
37,378,0,1,0,26
38,378,1,0,0,45
39,378,1,1,0,1
40,379,0,0,0,12
41,379,0,1,0,27
42,379,1,0,1,120
43,379,1,1,0,2
44,380,0,0,0,2
45,380,0,1,0,32
46,380,1,0,0,11
47,380,1,1,0,9
48,381,0,0,0,24
49,381,0,1,0,35
50,381,1,0,0,9
51,381,1,1,0,0
52,382,0,0,0,2
53,382,0,1,0,36
54,382,1,0,0,13
55,382,1,1,0,11
56,383,0,0,0,12
57,383,0,1,0,36
58,383,1,0,0,20
59,383,1,1,0,8
60,384,0,0,0,9
61,384,0,1,0,0
62,384,1,0,0,0
63,384,1,1,0,18
64,385,0,0,0,0
65,385,0,1,0,1
66,385,1,0,0,1
67,385,1,1,1,62
68,386,0,0,0,4
69,386,0,1,0,5
70,386,1,0,0,15
71,386,1,1,1,110
72,387,0,0,0,5
73,387,0,1,1,147
74,387,1,0,0,3
75,387,1,1,1,183
76,388,0,0,0,0
77,388,0,1,1,92
78,388,1,0,0,44
79,388,1,1,1,117
80,389,0,0,0,0
81,389,0,1,0,21
82,389,1,0,0,13
83,389,1,1,0,42
84,390,0,0,0,0
85,390,0,1,0,40
86,390,1,0,0,2
87,390,1,1,0,1
88,391,0,0,1,70
89,391,0,1,1,222
90,391,1,0,0,19
91,391,1,1,0,42
92,392,0,0,0,43
93,392,0,1,1,170
94,392,1,0,1,53
95,392,1,1,0,14
96,393,0,0,1,58
97,393,0,1,1,124
98,393,1,0,1,51
99,393,1,1,0,31
100,394,0,0,1,123
101,394,0,1,0,1
102,394,1,0,1,57
103,394,1,1,0,0
104,395,0,0,1,58
105,395,0,1,0,1
106,395,1,0,0,2
107,395,1,1,0,17
108,396,0,0,0,35
