,Slice,x-grid,y-grid,Poren,num Black pixels
0,340,0,0,1,290
1,341,0,0,1,333
2,342,0,0,1,739
3,343,0,0,1,1096
4,344,0,0,1,350
5,345,0,0,1,331
6,346,0,0,1,324
7,347,0,0,1,509
8,348,0,0,1,986
9,349,0,0,1,683
10,350,0,0,1,670
11,351,0,0,1,499
12,352,0,0,1,357
13,353,0,0,1,765
14,354,0,0,1,475
15,355,0,0,1,179
16,356,0,0,1,340
17,357,0,0,1,147
18,358,0,0,1,125
19,359,0,0,1,131
20,360,0,0,0,33
21,361,0,0,1,364
22,362,0,0,1,748
23,363,0,0,1,380
24,364,0,0,1,132
25,365,0,0,0,17
26,366,0,0,1,132
27,367,0,0,1,403
28,368,0,0,1,263
29,369,0,0,1,653
30,370,0,0,1,557
31,371,0,0,1,262
32,372,0,0,1,174
33,373,0,0,0,41
34,374,0,0,0,11
35,375,0,0,1,372
36,376,0,0,1,857
37,377,0,0,1,892
38,378,0,0,1,582
39,379,0,0,1,570
40,380,0,0,1,526
41,381,0,0,1,295
42,382,0,0,1,119
43,383,0,0,0,43
44,384,0,0,0,24
45,385,0,0,0,39
46,386,0,0,1,73
47,387,0,0,0,45
48,388,0,0,1,79
49,389,0,0,0,55
50,390,0,0,1,81
51,391,0,0,1,122
52,392,0,0,0,47
53,393,0,0,0,4
54,394,0,0,0,44
55,395,0,0,1,386
56,396,0,0,1,199
57,397,0,0,0,20
58,398,0,0,0,18
59,399,0,0,0,15
60,400,0,0,0,20
61,401,0,0,1,178
62,402,0,0,1,72
63,403,0,0,1,59
64,404,0,0,0,6
65,405,0,0,0,24
66,406,0,0,0,1
67,407,0,0,0,11
68,408,0,0,1,77
69,409,0,0,1,164
70,410,0,0,0,41
71,411,0,0,0,13
72,412,0,0,1,58
73,413,0,0,0,12
74,414,0,0,1,234
75,415,0,0,1,508
76,416,0,0,1,925
77,417,0,0,1,785
78,418,0,0,1,415
79,419,0,0,1,284
80,420,0,0,1,199
81,421,0,0,0,28
82,422,0,0,1,88
83,423,0,0,1,351
84,424,0,0,1,167
85,425,0,0,1,232
86,426,0,0,1,821
87,427,0,0,1,1085
88,428,0,0,1,1206
89,429,0,0,1,488
90,430,0,0,1,119
91,431,0,0,0,24
92,432,0,0,0,0
93,433,0,0,0,4
94,434,0,0,0,0
95,435,0,0,1,264
96,436,0,0,1,215
97,437,0,0,0,21
98,438,0,0,1,209
99,439,0,0,1,97
100,440,0,0,0,48
101,441,0,0,1,57
102,442,0,0,0,5
103,443,0,0,1,125
104,444,0,0,1,132
105,445,0,0,1,94
106,446,0,0,1,180
107,447,0,0,1,425
108,448,0,0,1,640
109,449,0,0,1,129
110,450,0,0,0,21
111,451,0,0,0,12
112,452,0,0,0,1
113,453,0,0,0,5
114,454,0,0,1,123
115,455,0,0,1,122
116,456,0,0,1,295
117,457,0,0,1,193
118,458,0,0,0,40
119,459,0,0,1,93
120,460,0,0,1,199
121,461,0,0,0,31
122,462,0,0,0,0
123,463,0,0,0,8
124,464,0,0,1,103
125,465,0,0,1,108
126,466,0,0,1,101
127,467,0,0,1,113
128,468,0,0,0,45
129,469,0,0,1,66
130,470,0,0,0,41
131,471,0,0,0,36
132,472,0,0,1,166
133,473,0,0,1,262
134,474,0,0,1,241
135,475,0,0,1,79
136,476,0,0,1,83
137,477,0,0,1,428
138,478,0,0,1,346
139,479,0,0,1,78
140,480,0,0,0,24
141,481,0,0,0,24
142,482,0,0,0,17
143,483,0,0,0,47
144,484,0,0,1,67
145,485,0,0,1,74
146,486,0,0,1,104
147,487,0,0,0,45
148,488,0,0,1,66
149,489,0,0,0,29
150,490,0,0,0,20
151,491,0,0,0,16
152,492,0,0,0,12
153,493,0,0,0,21
154,494,0,0,1,190
155,495,0,0,1,221
156,496,0,0,1,124
157,497,0,0,0,36
158,498,0,0,0,24
159,499,0,0,0,28
160,500,0,0,0,44
161,501,0,0,1,314
162,502,0,0,1,208
163,503,0,0,1,137
164,504,0,0,1,95
165,505,0,0,1,77
166,506,0,0,1,307
167,507,0,0,1,201
168,508,0,0,1,202
169,509,0,0,1,81
170,510,0,0,0,48
171,511,0,0,0,26
172,512,0,0,0,40
173,513,0,0,0,47
174,514,0,0,0,35
175,515,0,0,0,28
176,516,0,0,0,14
